userId,displayName,userUrl,joinDate,joinTime,comp_tier,dataset_tier,notebook_tier,discuss_tier,final_tier,comp_currentRanking,dataset_currentRanking,notebook_currentRanking,discuss_currentRanking,comp_points,dataset_points,notebook_points,discuss_points,comp_GoldMedals,comp_SilverMedals,comp_BronzeMedals,dataset_GoldMedals,dataset_SilverMedals,dataset_BronzeMedals,notebook_GoldMedals,notebook_SilverMedals,notebook_BronzeMedals,discuss_GoldMedals,discuss_SilverMedals,discuss_BronzeMedals
42245,gezi,/goldenlock,06-05-2012,18:17.5,2,Unranked,Unranked,3,2,28,Unranked,Unranked,142,74185,Unranked,Unranked,456,4,1,0,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,4,17,154
18463,Mathurin Aché,/mathurinache,11-10-2011,41:53.2,2,2,3,3,2,29,19,407,899,73204,450,208,81,7,37,48,2,3,50,0,1,26,2,6,53
1501167,Kɔuq Wang,/gmhost,17-12-2017,47:39.1,2,Unranked,Unranked,Unranked,2,30,Unranked,Unranked,Unranked,71265,Unranked,Unranked,Unranked,4,21,9,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1658108,Limerobot,/limerobot,22-02-2018,14:45.1,1,Unranked,Unranked,Unranked,1,31,Unranked,Unranked,Unranked,71035,Unranked,Unranked,Unranked,12,7,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1393170,DungNB,/nguyenbadung,06-11-2017,49:44.6,1,Unranked,Unranked,3,1,32,Unranked,Unranked,353,69963,Unranked,Unranked,209,6,12,5,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,6,7,55
436401,tkm2261,/tkm2261,06-10-2015,58:52.1,1,3,3,3,1,33,644,829,228,65162,23,108,309,7,6,4,0,1,2,2,1,7,19,6,47
1410012,(⊙﹏⊙),/wht1996,12-11-2017,19:07.4,1,Unranked,3,Unranked,1,34,Unranked,818,Unranked,65027,Unranked,109,Unranked,5,2,3,Unranked,Unranked,Unranked,1,1,4,Unranked,Unranked,Unranked
85156,dott,/dott1718,14-02-2013,25:16.1,1,Unranked,Unranked,3,1,35,Unranked,Unranked,708,65026,Unranked,Unranked,105,13,7,2,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,8,16,56
2062758,Theo Viel,/theoviel,12-07-2018,19:11.0,1,3,1,1,1,36,475,46,22,64896,32,969,1218,10,13,3,0,1,3,15,15,10,69,62,446
3577701,Kramarenko Vladislav,/vlomme,13-08-2019,22:12.6,1,Unranked,Unranked,3,1,37,Unranked,Unranked,372,63907,Unranked,Unranked,203,5,4,2,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,6,13,50
